contest_number,image_description
89,There is an animal trainer cracking a whip and shoving a chair at a cartoonish-looking lion who is standing on a pedestal. In the foreground there is another lion who is talking on a landline phone which is placed on another pedestal.
741,Two people are having drinks outside. They're staring up at the moon together.
425,Two men are walking into a room. There is a grave plot in the middle of the floor.
217,There is a pool in an office. A man is going to dive into it. His clothes are hung up.
705,"Two cowboys are on horseback in the desert. There is a campfire, but also an oven with cooking supplies strewn everywhere."
651,A man is sitting on an examination table in a doctor's office talking to a doctor. The man has a large snake wrapped around his entire body. The man seems somewhat worried. The doctor is dressed in sweatpants and tennis shoes.
275,"A judge, a lawyer and a witness are in a courtroom. A woman in bathrobe and slippers is coming out a door from under where the judge is."
565,"A doctor, who is speaking with a patient, is holding a sheet of paper that is on fire. The doctor looks surprised while the patient has a nonchalant look on his face."
392,There are people on yoga mats doing yoga in a gym. In the foreground we see the Hulk who has grabbed a man and is shoving him into the cement wall. The Hulk looks angry while the people in the background are pretending not to notice.
173,A bunch of men are carrying money in carts or in briefcases. They look very happy.
623,Someone has an animal as a kite. They are flying it at a park with other kites. A police officer is upset at them.
728,A man is relaxing on a small island under a palm tree. Another man with tattered clothes and a briefcase stares at him.
734,In the foreground there is a mobster looking man in a coat and hat with a cigarette hanging out of his mouth. He is looking towards the background at a man who is tied up and standing in a bucket which is inside a tub still filling up with water from a running shower. It appears that the mobster is talking.
680,A polar bear is soaking wet inside of a fancy restaurant. The bear is looking at a person who is sitting down and reading a menu.
654,A man is sitting down at a restaurant table and he has bowl of food in front of him. He is talking to a waiter about his food. His bowl of soup has someone turned into a large tornado of soup.
549,Two people are sitting across a desk from one another. They are both tied up in straight jackets.
183,A man and woman are in bed together under the covers. They are looking towards the bedroom door when a car has crashed into their home. They don't seem too upset about the situation.
658,People are in a computer lab. Some of the ones on the computers are animals.
15,"A man and a woman are on a date in a fancy restaurant, and are eating soup. The man is taking a bite, and, as he does, the woman's face is reflected in his bald head."
546,Two men are on a small island. The island next door is made of dolphins.
454,A man in a beard is at a gate. He is writing something on a paper. There are barbed wires on the gate.
708,A knight is in a kitchen. A man wearing an apron is cooking on the stove and making a huge mess. He stares at the knight.
547,A woman in parade attire marches through the desert.  Crawling behind her are two ragged-looking men
413,An old couple is robbing another younger couple in a dark ally. The old man is pointing a gun at the younger husband who seems happy about the situation while the younger wife looks on in worry.
226,An alien dressed as a doctor holds a sheet of paper up in a doctor's office. Seated on the patients table is a human being in a patient's robe who watches the alien doctor with a solemn but focused look.
372,People sitting at a desk at work have wind-up turns attached to their back. Two people who are normal just look on.
237,Two men are talking. One man has flown up into the sky and turned into bubbles.
733,A bunch of angry sheep are angry at two wolves in suits. These animals are standing up right like humans.
78,A man and woman are side by side in bed and under the blankets. The woman is smoking a cigarette. The bed they're using is in a jail cell and there are bars on the windows.
597,Two women are walking through an airport. They have their babies stored in their luggage.
580,Two knights are standing guard in a throne room. one is in a hammock put up between two pillars.
417,A giant squid is attacking a bridge full of people. Only two other people are ignoring it because they are in a fit of road rage.
263,"A man and woman are in the bedroom with the woman on the bed and the man on the ceiling. The woman is looking at the man on the ceiling, who is in a resting position as if he were in the bed with her."
249,A businessman dressed as a lifeguard is talking to an employee. They are in an office building.
86,"Two men are walking on a golf course, holding their clubs. They are approaching a warzone with many solider and tanks."
577,Two people are sitting on a couch in their living room. There is a man in a hot dog vendor cart nearby.
463,A cowboy is on a horse on a small island. He has nowhere to go since ocean is all around them.
619,Two men in suits stand facing an empty office desk.  Sitting embedded in the middle of the desk is a sword
589,A man is sitting at the table in a restaurant reading a menu. A waiter is chatting with him and getting his order.
333,A cave couple is inside of a gave by a fire while a man in a suit smokes his cigar. The man also has a drink and a table next to his chair.
3,A dirty exhausted man is crawling toward an emergency hotline booth. One of the operators is yelling at him.
395,A man is loading a giant cannon. There is a man inside the barrel as well.
146,A stick figure is at a job interview. The person interviewing him seems to be pleased by the meeting.
353,A married couple have assistants surrounding their bed. The couple do not seem to mind.
740,A bull is observing a cup in a china shop. It is well mannered and other customers do not mind it.
712,"Two lizards are sitting around a desk in an office. Outside, a meteorite is falling."
532,A large sperm whale is beached on a small island in the middle of the ocean. Underneath the whale is a toppled palm tree and two human feet.
377,There is a giant rat sitting in a recliner in a living room reading the newspaper with its legs crossed like a human being. In the background we can see a couple in the hallway near the door dressed in bath robes. The husband on the left looks concerned and is listening to his wife next to him who is talking to him with phone in hand.
7,"Two people are in bed. The Earth is outside the window, so this must be space."
535,A couple is in the car. A whale is in the backseat of the car.
702,A man has come into a barber shop for a haircut. The man has a pigeon sitting on top of his head. The barber is looking at the customer with a confused expression.
348,"There are giant, carved Easter Island stones scattered on a beach. All are identical and resemble a regular man but with a combed back hairstyle. In the foreground a tour guide is talking to a single male tourist who has a camera hanging around his neck."
457,A number of bedraggled men are rowing in the hull of a slave ship. One of them is a businessman.
527,A farmer is greeting a spaceman. They are at the door to a UFO. It is on a farm.
27,People are having a business meeting. They are all wearing parrots on their shoulders.
326,A man dressed up in suit is sitting on a sofa next to a larger sofa with octopus on it. Man has a pistol in his hands and looking towards the floor with confused look.
115,A man in a hazmat suit is at a bar. A man in a tie is taring at him.
647,There is a waterski ramp in a lake where two skiers have jumped and are now in mid air. The woman on the left is a traditional waterskier holding a tow rope while the woman on the right is wearing winter wear and is on snow skis. The snow skier is talking to the waterskier.
330,"A man has become a couch as he watches TV. His wife comes in with her hands on her hips, clearly disappointed."
569,A bunch of executives are around a board room table. Another man in a suit is doing a cannonball onto the table.
182,Cats are piled up in a tower formation. A man is on the phone staring at them.
59,"A man is sitting behind a desk that features typical office equipment, like an incoming bin and computer.  There is a large clock on the wallk with strange looking symbols instead of numbers."
250,There is a doctor standing and holding a giant magnifying glass which is the same length as his body. He is using it to look at a patient who is sitting on a patient's table. The doctor is talking.
461,A man is talking to a clerk at the airport. There is a plane outside the window.
584,Many clones of the same guy step out into the hallway from a room. A woman stands in shock as she uses her phone.
540,A doctor is in her office and she is using her stethoscope on a patient. The patient in this case is just a large metal safe that is sitting on a chair.
736,Two dinosaurs are staring at one another. One is wearing a pinwheel hat.
223,A woman is doing laundry at a laundromat. People are inside the laundry machines.
737,Jack climbs up the beanstalk and interrupts a meeting up in the clouds. Someone is hosting the meeting by talking about a graph presentation.
108,Cavemen living in a cave has a neighbor that lives in a modern style house. The neighbor also has a rake they are using for cleaning.
252,A cowboy is behind the desk. This is a business office. Arrows are in the chair and on the floor.
327,A man and a woman are lounging by a pool in their backyard. A sea serpent is popping out of the pool.
151,Two men are sitting in office. The man behind the desk has a gigantic pencil sharpener on one side of his desk and a cup of gigantic pencils on the other side.
148,A woman looks at a lineup on criminals in a police station. The line up consists of religious figures.
191,At the edge of a cliff overhang we see a cat who has jumped off still in mid air followed by a group of piglets. Behind them still standing on the cliff are more piglets. The cat is looking back at the piglets who have jumped and is talking.
205,"Four people are sitting down in the living room, talking. The overweight man is looking at his watch."
142,There is a car coming up the stairs. Three men are staring at it. This is in someone's house.
601,Two people are being followed by a cactus in the middle of the desert. The woman looks back with a worried face.
155,"People are having a therapy session. The lion, tin man, scarecrow, and other people from the Wizard of Oz are there."
168,A couple is sitting at a table in a restaurant. The waiter is reaching in from the door with their food.
145,A monster hangs on the side of a building as a man talks on the phone from the inside. The man seems relatively calm as he holds a glass of wine.
494,A football team is having a meeting. A therapist is there in a chair taking notes.
394,A centaur with his hands on his hips is looking down on a snail man. The snail man is looking up in awe at the centaur.
760,"A couple is sitting at a table in a restaurant and being hovered over by the waiter. The man is frowning deeply.  Another waiting is walking towards the table with an angry expression, dragging a metal trash can."
541,A woman is opening her front door. A man with a hood and a scythe is talking to her.
727,A realtor is showing a house to a couple. Outside you can see the stars and planets. The house seems to be in space.
450,There is a board room in an office building and 6 of the employees are dancing on top of the table. Their boss is watching them dance and is visibly upset about the situation.
335,Some jockeys are in a race. They are using fake horses.
320,A giant table with food on it is approaching a city gate. Two guards are discussing this.
723,Cats and dogs are recording and playing some music in a music booth. There are sound engineers working the controls outside of the booth.
2,A group of businesspeople are having a meeting in a subway car. They are talking to a CEO.
308,"Two cavemen are seated in a cave.  Several finished wheels are sitting in the cave with them, and one of the cavemen is holding a half of a wheel in his hand."
692,A wold tries on the skin of a variety of animals. There is a clothing store employee who is happy to help the wolf.
109,"There is a scene with people sitting in airplane seats. In one row there is a woman at the window, a man in the middle and an amoeba looking figure on the aisle seat. The man in the middle is talking to the woman while gesturing towards the amoeba."
755,A woman is sitting down in a cave. A caveman is confronting her.
465,Two businessmen are walking along a tiled floor and they see in front of them a large crack in the floor that has people dressed in suits stuck in it. The people are all wide-eyed and shaking. One of the men walking has glasses and his hand in his pocket and doesn't seem surprised while the other man's eyes are bulging in surprise.
585,"In a kitchen there is a little boy holding a Genie's lamp who is looking up at a Genie. But the Genie isn't appearing from the lamp. Instead, the Genie is coming out of a toaster on the kitchen counter and he is now talking to the little boy."
32,"In an office, a man in a bunny suit is walking by. Some of the workers are gawking at him."
511,A man is walking down a sidewalk. He is looking at another person hiding in the snow.
594,A couple is walking down a park path. They are surrounded by trees and leaves.
245,Two men are holding onto a sinking boat in a cup of coffee. The seas in the coffee mug are very rough.
106,"There is a man, I assume a scientist, checking over the writing of several papers that have been typed by a monkey who is sitting at a typewriter. There are a number of other monkeys in cages around the room. They appear to be very sad."
400,A board meeting is going on among various buildings or blocks. They are just floating in the air.
241,A woman and a shark are sitting together on a small island in the water.  There is a single palm tree on the island.  A man's head is above the water several feet offshore
352,A man climbs up a building but finds an old man perching on a ledge. The old man is comfortable with his legs crossed with the other man in shock.
325,There are two hikers looking at face statues. It is like the ones in Easter Island. The statues are smiling.
83,"Three adults are sitting around a coffee table in a living room eating and drinking. The house has very large appliances like a  lamp, a toaster, etc."
563,There is a man running on a hamster wheel. He is wearing a tie.
667,There is a disassembled maze. Two mice are perusing the instructions.
113,A maid at a hotel has a gun drawn while pressing against next to a door. A man notices but is quietly going into his room with his luggage.
274,"A man in a trenchcoat is talking to a bartender, while a ballerina dancer looks on from behind him. The bartender appears to be telling the man something, and the dancer looks upset."
596,"A man is drinking in a bar. He's acknowledging Death, who is seated a ways a way. He offers him a beer."
582,Two people are riding a two person bike down the road. They are both on the phone.
443,Two construction workers are staring at a bowling alley. They are about to demolish it. The ball is aimed toward the pins.
319,"Two snakes are slithering through a field talking. One of the shakes either has a human buttocks, or has eaten a human, and only their buttocks is showing."
138,A man is sitting at a desk opposite a couple.  To the man's left is what appears to be a aquarium
172,"There is a hillside with very large sculpted heads. In the middle of the grouping of heads is a smiling fat face, markedly different from the longer ones."
707,A man is carrying a giant globe out of the front door. A woman is watching him while in her pajamas.
753,An Amish man and a whale are standing in line at the grocery store holding carts full of groceries. The man is looking at the whale with a happy expression on his face.
120,A Mr. Potato Head type character sits at a bar with a man. They both have a drink together.
529,A man is climbing a mountain in midair. A man below is staring at him. There is no mountain.
331,A UFO is following a car. The light beams from it are on the car.
675,"There are a group of people at a crowded indoor party. In the foreground there is a woman holding a beer, appears drunk and is talking to an astronaut and deep sea diver in full gear including helmets who are next to her. The astronaut and diver appear to be having their own conversation while the woman is interrupting."
225,A cheerleader is outside an airplane. Two pilots are staring at her.
749,A man is on a balcony pulling a rabbit out of a hat. A woman is at a table looking at her phone. People are watching the magic trick from windows in buildings.
516,A couple is having drinks at a table when a cement block is heading down to one of them. Only one of them notices and looks up while the other one remains oblivious.
51,"In a courtroom, there are three serious men in suits. The man sitting on a sofa chair has a hook hand and is being interrogated by a man standing up and holding a paper. The judge looks at this man sitting on the sofa."
179,A doctor is standing up with bandages on. A patient in a gown sits on the table.
384,a monster is outside of an office building. A meeting was taken place and everyone looks shocked besides one man.
124,"A few dozen people are in a desert. Everyone looks quite weary, and are crawling around, as if they are on their last legs. The sun is out, and the conditions look harsh. One of the people looks questioningly at another."
638,There are two men on a street sidewalk. One of the men is wearing a button up shirt and suspenders. The other man is also wearing suspenders but his suspenders are attached to two drones which are hovering above his head. This man is talking to the other man.
508,A shark is looking at photos during an interrogation. Two cops are interrogating him.
738,A man is raking his lawn.  He is watching a UFO piloted by two aliens beam up piles of leaves into it.
512,A man and woman are standing facing one another (mirrored) inside of a yoga studio. The man looks upset at what the woman is telling him. The man is carrying a living room rug and the woman is carrying a yoga mat.
72,A man is walking a tightrope or a clothesline between two buildings. Another man seems to be egging him on.
720,A man is pushing a bounder up a hill. A woman in a dress is sitting down watching him drinking alcohol. The man is wearing hardly anything.
552,A man is crawling through the desert. Another man is attempting to paddle a boat through the sand.
255,A man is sitting at his desk in an office. Across from him are two empty chairs. There are two people hiding behind the chairs and holding up puppets at the top of the chair.
312,A lion is standing up right like a human while visiting another lion at the zoo. The lion is wearing a suit.
500,A cowboy is riding a seahorse. A man and horse stare at him.
763,In front of a gas station there is a gas station employee holding up a dip stick while talking to a lady. They are both standing in front of a giant hotdog shaped and painted vehicle. The employee is talking while the vehicle owner listens.
645,A realtor is showing a couple some houses. The house he is showing them though looks like its part of a miniature golf field.
185,A naked man is walking out of the water on a hillside. A fish is crawling out in front of him.
421,A man and a woman stand near the counter of a café. All of the seats in the café are taken up by rhinoceroses. The café employee doesn't appear to notice anything out of the ordinary.
364,A man with a drink is talking to a cardboard cutout of a bartender. The man is happy to talk to it.
16,"A man talking to the devil is showing him a new batch of arrivals, dressed as churchgoers, walking through a church door. The devil looks displeased with the new people."
711,A woman is sitting on her couch in fear. There is a baseball game going on in her living room.
381,"A man in a loincloth is rolling a large boulder up a mountain. Next to him is a woman, dressed normally and carrying a purse, pushing a double baby crib up the same mountain."
192,This is a late night TV show. A woman is talking to a talk show host. There are cameras around them and bars on the windows.
509,A bear is in the waterfall. Two salmon jump out of the waterfall and talk to him. The bear looks at them.
686,Two women are sitting on a couch in a living room. A man is sitting nearby on top of an egg.
104,"A police car is parked on a road obscured by clouds.  On a nearby sidewalk, two angels are sitting leaned up against a building, looking at the cop car"
41,Two well-dressed people are walking into a church; the church is also a bar. Two men sitting at the bar are showered in sunlight coming through a stained glass window while drinking.
383,There are a bunch of people lined up on the street. A devil has opened up a hole in the ground and people are coming out. Fire erupts from the hole.
715,Humpty Dumpty is at a bar. It is all banged up. A bartender serves it some alcohol.
673,Repunzel's hair is swallowing up the man from below the tower. the man is stuck in her hair as she looks down in shock.
732,A teddy bear takes the witness stand as a lawyer questions it. A judge looks on with apprehension.
606,A plane is flying through the air.  On a nearby cloud stands a man with his hands outstretched like he is hitchiking
211,A person crawling on the floor is greeted by someone in a spacesuit. The person in the spacesuit is holding the American flag.
220,A doctor is standing in an examination room. Someone is making a shadow puppet of a bunny on the wall.
528,"In an office, people are having a meeting in a slanted room. Everyone is pushed back to one corner of the room."
159,There is a meeting going on. There are huge cups of coffee and tea on the table.
375,There is a piece of bacon in human form sitting on a chair and taking notes. Next to him an egg in human form is lying down on a chaise longue chair and appears to be talking while looking up towards the ceiling.
22,The room is filled with people who are having a meeting. More than half the room has their hand up.
189,A doctor has used the acupuncture needles on himself instead of the patient. The patient is lying there as the doctor seems calm about this.
592,Two people in lab coats are in what looks like a lecture hall. Ducks are seated where the students would be with laptops open in front of them.
522,Frankenstein's monster is on the table. A butler is talking to Frankenstein while he makes a potion.
128,There is a couple in a living room both sitting in recliners and reading a book and newspaper. The man appears to be talking to the woman. Behind them in the background is a giant puppy which fills the entire room.
31,A bull or minotaur is at a bar. The bartender looks confused and is going to call someone.
745,There is a giant snail in the city. A man and scientist look at him with binoculars. The snail is destroying the city.
247,A delivery man is dropping off a barrel at a mans house. The man has opened the lid and is peeking inside. The barrel is large and it has the word Monkeys written on the side of it.
608,"A priest is looking up at huge radiator fins inset between stained glass windows in a church. Below the fins is a man seated at an organ, looking at the priest."
344,Several people are out on a ledge of a building. One man is hanging off an eagle sculpture.
112,"There is a huge gun laying on the ground in the middle of what appears to be a desert, with a smoking volcano in the background. There are two creatures inspecting the barrel of the gun."
595,A snowman is shopping at a clothing store. There are two co-workers at the store who do not seem to notice the snowman.
437,A man and woman are standing outside their house. There are birds feeding in the yard.
125,"6 people are all lying in one large bed facing a tv.  They all appear to be wearing glasses and staring straight forward, and the 2 people on either flank are wearing suits."
65,A bunch of people and robots are sitting around a table in the board room. The executive is chewing them out.
246,There is an electric chair near a chair full of businesspeople. They are at a meeting.
742,A man is having a Barbecue in the middle of an art gallery. Another man is angry at him.
627,"A man and a woman sit at a restaurant table which is placed outside on the ledge of a building, Both are looking down at their menus. A waiter stands by at the building window waiting for their order."
762,A rat is talking to a turtle. There are a number of exercise wheels in the background with other rats on them.
495,Outside of a work meeting there are a few cleaning men with helmets and sunglasses on. They are posing like they are ready to crash the meeting.
171,"In a butcher shop, there is a lady looking to buy some meat. In the display case are designs of women doing the can-can dance."
324,Two businessmen are walking down the street. One has horns like a demon.
703,A waiter points his finger at an alligator who has opened its mouth.There is also a woman that is sitting down nonchalantly as this is happening. The alligator seems to have appeared from a boxed shaped hole.
71,A body in three parts is on an exam table in a doctor's office with the body's arms crossed as though annoyed. The doctor is looking at the body with his mouth wide open as if he's shocked. He has a clipboard and looks like he paused in the middle of writing.
531,Two giraffes are chatting in a living room. One is on the sofa watching TV.
152,"There is a car traveling on the road. A huge Earth is in the road, blocking the way."
198,"Two men are driving a car.  On the hood of the car is a gagged and restrained man, with his feet stuck in a bucket of water"
401,"People are sitting around watching TV. They're very happy about what they're seeing, but the lady is yelling."
693,"Two scientists are in a lab, observing a maze. Their lab rat is trying to get to the cheese."
689,A knight has jousted a car door. A policeman is writing him a ticket.
624,In this scene we see both above ground and underground levels of a cemetery. Above ground we see headstones and below we see two coffins. One contains a normal looking man in a suit with his arms spread out and the other has a skeleton who is looking towards the man and waving at him.
96,"Tarzan and his wife, Jane, are on some branches in a vine-covered tree. Jane is pregnant and seated, while tarzan has a knife on his waistbelt. They both look left towards something that isn't pictured."
743,A man is placing a lion mount on the wall. The lion has the man's head in its mouth. The woman is shocked.
36,"Two men in suits are having a conversation with each other. One has his arms folded across his chest, and is looking down at the other man's belly, which looks to be pregnant."
412,A clown and a dominatrix are on an island. They are stranded in the ocean.
13,There is a man in bed with a woman on top of him. They are dressed strangely.
170,Two co-workers are walking together in the hallway of their office. One is carrying coffee while the other is carrying a whole chicken.
507,A man is at his desk on the computer. Another man is entering with a giant hot dog in his arms.
670,A man and woman are riding bikes down a hill. The man is wearing a full suit of metal armor. The woman appears surprised at the man's outfit
137,"A man is seeing his therapist, who smiles at him. The man is standing on the chaise longue chair, holding up two scottish flags."
141,Two angels are standing face to face on a cloud. One has white wings and one has black ones.
722,A man and a woman are standing on the sidewalk staring at their destroyed home. A piano the size of a house has crashed into the home and completely destroyed it.
49,A bartender is on the telephone. A man looks on as two other men and a rabbi enter the bar.
560,"There are three cavemen, two of which are standing in a hole while the third is sitting with his arms crossed inside the mouth of a cave in the distance. The caveman in the hole is talking to the cavewoman next to him while they both watch the third caveman who is sulking in the cave."
440,Some baseball players are watching the game from the dugout. One of them has high heels on.
157,People inside a room with drinks on chairs. They are looking at the solar system in a room.
648,A magician puts a piece of paper in a shredder to make it disappear. The magician's assistant looks disappointed in the act.
674,A man is walking a dog in nature. He comes across a monster standing on a rock.
343,"Two people are on a street. a Centurion is directing a woman toward a chariot, away from a car."
687,There is a giant man looking at some tiny people having wine. The man at the table looks shocked.
193,There is a couple in a living room setting. The couple have strings coming out of them indicating that they are really puppets.
559,A man jumps from a plank to do a dive in the sea. Pirates look on at him in shock.
209,A man with a duck on his head and wearing just his underwear is walking into the bar. The men at the bar stare at him.
181,"Two men, wearing medieval peasant grab, are looking at a canvas depicting a completed Colosseum. In front of them is a jumble of stones, half-assembled, that look nothing like the finished project, instead appearing to be an almost done Stonehenge."
92,"Two people are walking down the street. There is a dolphin standing in front of a store, looking to be begging for money. The man is about to pay him."
407,"Two men are walking into a room. There is a big sandbox, and grown adults are playing in it."
221,"A chef is trying to murder another chef with knives n a kitchen. A man is playing music on the counter, and there is a large fish on the floor. Two waiters are talking amongst themselves."
253,Two cowboys are out riding. One of them is missing his horse.
642,A woman is walking down the street. A baker is in the alley. He has some pancakes.
336,"A man is giving a lecture on stage in front of a crowd of people.  This is a play on the ""Ted talk"" serieis of lectures, and he's pointing at a projection of a man wearing lingerie on a screen with the words ted talk underneath it"
639,A man lets Repunzel grab onto his hair from the high tower. She looks surprised as the man looks up.
422,Two turtles are on a log in a creek. One of them has books piled on his shell.
143,"There are two businessmen, both wearing suits and carrying briefcases. The man on the right is walking down the hallway carrying an inflatable sex doll under his arm."
218,Two men are laying on a bunk bed. The bottom bunk is actually a bath.
426,A man is playing an electric guitar for a girl in her bedroom. He is playing it very fast.
62,There are 3 people in an office all in business attire. One man is behind a desk watching another man and woman pretending to be a horse or bull and rider. The man is on all fours kicking wildly while the woman is riding him like a cowboy.
432,Two men are sitting in a dog cage next to a dog. One of them is reading a book while saying something to the other man who is visibly upset.
272,People are in a truck with people going down a road. The people in front are drinking.
160,Three people are standing in front of a house for sale. There is all sorts of chaos going on inside.
337,Two men are on a small island. They have it barricaded off.
321,Two people are laying in bed. They are looking at numerous holes in the bedroom floor.
79,"There are two men in suits standing on a street corning looking at a building. Rather than being aligned vertically, the building seems to be on its side. Even the man in the window of the building appears to be sideways."
555,Two sharks are talking underwater. One of them has a mannequin in its teeth.
25,There are several people standing and chatting in an office environment. A few of these people are holding drinks. Most of these people are dressed professionally for work but there is one man wearing an old diving suit.
224,A large group of people are on the floor wearing ties and suits. They are either drunk or sleeping.
591,A psychiatrist is seeing a patient in his office. The patient is laying in a bathtub.
725,A boy is standing next to a tree with a cherry on his head. A man is standing away from him with a bow.
322,"Two cowboys are riding through the desert. One is on a horse, one is on a bug."
214,A man is sitting in his office at his desk. He's talking to a severed head sitting on the desk.
688,"A woman is at a party. She is observing a general, who has a paper being printed out of his chest."
127,Two men are ice fishing on a frozen lake. The hole in the ice is shaped like a person.
445,A car has a monster face and legs coming out of it. It's at a dealership and being sold by a salesman to a couple.
347,A mysterious looking guy in a trenchcoat and fedora is laying in bed with a couple. the couple seems to ignore the stranger as they are having a conversation.
354,A man is in an examination room sitting on a table. There are leaves growing out of him. The doctor is in front of him and appears to be amused.
735,A man is looking at a wedding cake. He looks frightened.
227,A workman is in an office on the phone. A man in a suit is on a scaffold outside washing the windows.
612,A crime scene is happening. There are outlines of animals on the ground and a person. A detective and policewoman stare at it.
380,Noah and his wife are on the ark. But they only have giraffes.
759,Two fish are in the ocean. One fish is on a plaque talking to the other one.
318,There is a large chicken in the work office. People are ignoring it as they go about their day.
679,A king sits on a thone positioned between to cacti.  Facing him is a knight in full armor
503,Santa is pulling the sleigh. It is full of reindeer. One reindeer stares at it from the ground.
232,"People in fancy clothes are sitting around a table doing various activities. There are drinks on the table but people are playing chess, reading the newspaper, and on the computer."
626,There is a horse in its pen. It's bucking off a man in a suit.
714,Two people are in a pool. They are playing with a beachball. A cat sits atop it.
158,A man in swim trunks is at the beach. A bunch of men's heads are sticking out of the sand.
373,Some people are sitting around a table in an office. They are all naked.
719,A woman is showing a couple a building. A giant washer and dryer are across the street.
434,"The characters from the Wizard of Oz are walking down the yellow brick road. Captain Ahab is behind them, holding a harpoon."
240,"A wife holding a cup of tea is looking through an open window towards the yard with concerned looks. In the yard, her husband is trimming the bushes in the shapes of body building men. He seems to be totally absorbed in the trimming task."
665,There are two sharks in the ocean facing each other. The shark on the right has a man standing on its back in front of its dorsal fin. Both sharks are implied to be swimming.
716,Two people are standing inside a kitchen. They're observing a number of deadly traps.
231,A doctor and a woman are walking into a hospital room. There is a very hairy man in the bed hooked up to IVs.
235,There is a police line-up with 4 men and 1 woman. They are all wearing a number around their necks from 1 to 5. The men are all dressed in regular clothes but the woman stands out because she is a ballerina.
164,A man is sitting in a living room with a bunch of goats. A woman has packed her bags and is leaving.
469,Two cowboys are meeting in the desert on their horses. One of the horses is mechanical.
165,The king's men is dumping money to the people down below the castle. The people on the ground level are throwing their arms in the air to catch the money.
57,Two men are standing in a living room and talking to each other. There is a fireplace and above the fireplace is either a painting of a fish or a real fish mounted on the wall. This fish seems to be alive and has a mouthful of the man on the rights suit .
117,There are two men sitting in recliners next to end tables and lamps. They are facing each other and having a conversation. They are sitting in what looks to be a circus ring.
369,Two men are in an office. One of the men is looking at a picture.
